EmployeeID,Date,Status
110,2024-12-04,Remote
107,2024-12-04,Present
104,2024-12-10,Absent
105,2024-12-10,Absent
103,2024-12-08,Present
102,2024-12-05,Absent
104,2024-12-08,Present
102,2024-12-03,Absent
110,2024-12-05,Present
106,2024-12-07,Remote
102,2024-12-08,Absent
108,2024-12-06,Present
107,2024-12-09,Remote
101,2024-12-02,Absent
103,2024-12-07,Absent
110,2024-12-06,Absent
108,2024-12-07,Absent
110,2024-12-08,Absent
101,2024-12-01,Absent
104,2024-12-07,Absent
109,2024-12-09,Present
101,2024-12-04,Absent
101,2024-12-08,Absent
109,2024-12-02,Present
105,2024-12-10,Present
103,2024-12-03,Present
103,2024-12-04,Remote
106,2024-12-05,Present
108,2024-12-05,Absent
104,2024-12-09,Remote
